path	status	reason
.dockerignore	reviewed	batch 287 last-line length matched; model not tool-verified grok
.eslintignore	reviewed	batch 287 last-line length matched; model not tool-verified grok
.eslintignore.web	reviewed	batch 287 last-line length matched; model not tool-verified grok
.eslintrc.cjs	reviewed	batch 287 last-line length matched; model not tool-verified grok
.githooks/commit-msg	reviewed	batch 287 last-line length matched; model not tool-verified grok
.githooks/pre-commit	reviewed	batch 287 last-line length matched; model not tool-verified grok
.githooks/pre-push	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/ISSUE_TEMPLATE/bug_report.yaml	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/ISSUE_TEMPLATE/feature_request.yaml	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/PULL_REQUEST_TEMPLATE.md	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/docker-compose-web-ci.override.yml	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/workflows/ninja_i18n.yml	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/workflows/playwright-test.yml	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/workflows/web_ci.yaml	reviewed	batch 287 last-line length matched; model not tool-verified grok
.github/workflows/web_coverage.yaml	reviewed	batch 287 last-line length matched; model not tool-verified grok; main-session moved the coverage token to a secret reference
.github/workflows/web_docker.yml	reviewed	batch 288 last-line length matched; model not tool-verified grok
.gitignore	reviewed	batch 288 last-line length matched; model not tool-verified grok
.nycrc	reviewed	batch 288 last-line length matched; model not tool-verified grok
.prettierrc.cjs	reviewed	batch 288 last-line length matched; model not tool-verified grok
.storybook/GUIDE.md	reviewed	batch 288 last-line length matched; model not tool-verified grok
.storybook/argTypes.ts	reviewed	batch 288 last-line length matched; model not tool-verified grok
.storybook/decorators.tsx	reviewed	batch 288 last-line length matched; model not tool-verified grok
.storybook/main.ts	reviewed	batch 288 last-line length matched; model not tool-verified grok
.storybook/mocks.ts	reviewed	batch 288 last-line length matched; model not tool-verified grok
.storybook/preview.tsx	reviewed	batch 288 last-line length matched; model not tool-verified grok
.vscode/settings.json	reviewed	batch 288 last-line length matched; model not tool-verified grok
AUDIT_SUMMARY.md	reviewed	batch 288 last-line length matched; model not tool-verified grok
CODE_OF_CONDUCT.md	reviewed	batch 288 last-line length matched; model not tool-verified grok
LICENSE	reviewed	batch 288 last-line length matched; model not tool-verified grok
README.md	doc	readme
__mocks__/lodash-es.ts	reviewed	batch 288 last-line length matched; model not tool-verified grok; main-session made isEqual compare values
__mocks__/lodash-es/debounce.ts	reviewed	batch 289 last-line length matched; model not tool-verified grok
